"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Checking skip","firefox","Mon Sep 07 02:04:50 GMT+04:00 2026","skipped","Mon Sep 07 02:04:50 GMT+04:00 2026","Header Navigation Bar Suite","playTest.spec.ts","",""
"","1809","Checking names of buttons","chromium","Mon Sep 07 01:45:51 GMT+04:00 2026","passed","Mon Sep 07 01:45:53 GMT+04:00 2026","","playTest.spec.ts","",""
"","2918","has title","firefox","Mon Sep 07 02:04:46 GMT+04:00 2026","passed","Mon Sep 07 02:04:49 GMT+04:00 2026","","example.spec.ts","",""
"","3088","get started link","chromium","Mon Sep 07 02:04:41 GMT+04:00 2026","passed","Mon Sep 07 02:04:44 GMT+04:00 2026","","example.spec.ts","",""
"","7801","Checking light mode","firefox","Mon Sep 07 02:04:50 GMT+04:00 2026","passed","Mon Sep 07 02:04:58 GMT+04:00 2026","Header Navigation Bar Suite","playTest.spec.ts","",""
"","10477","Checking names of buttons","firefox","Mon Sep 07 02:04:47 GMT+04:00 2026","failed","Mon Sep 07 02:04:57 GMT+04:00 2026","Header Navigation Bar Suite","playTest.spec.ts","",""
"","6478","Checking showing top bar","firefox","Mon Sep 07 02:04:46 GMT+04:00 2026","passed","Mon Sep 07 02:04:53 GMT+04:00 2026","Header Navigation Bar Suite","playTest.spec.ts","",""
"","5049","Checking href","firefox","Mon Sep 07 01:45:56 GMT+04:00 2026","passed","Mon Sep 07 01:46:01 GMT+04:00 2026","","playTest.spec.ts","",""
"","1729","has title","chromium","Mon Sep 07 02:04:41 GMT+04:00 2026","passed","Mon Sep 07 02:04:43 GMT+04:00 2026","","example.spec.ts","",""
"","5479","Checking href","firefox","Mon Sep 07 02:04:47 GMT+04:00 2026","passed","Mon Sep 07 02:04:52 GMT+04:00 2026","Header Navigation Bar Suite","playTest.spec.ts","",""
"","2707","Checking showing top bar","chromium","Mon Sep 07 02:04:41 GMT+04:00 2026","passed","Mon Sep 07 02:04:44 GMT+04:00 2026","Header Navigation Bar Suite","playTest.spec.ts","",""
"","2006","Checking light mode","chromium","Mon Sep 07 02:04:41 GMT+04:00 2026","passed","Mon Sep 07 02:04:43 GMT+04:00 2026","Header Navigation Bar Suite","playTest.spec.ts","",""
"","2151","Checking light mode","firefox","Mon Sep 07 01:45:58 GMT+04:00 2026","passed","Mon Sep 07 01:46:01 GMT+04:00 2026","","playTest.spec.ts","",""
"","7562","Checking showing top bar","chromium","Mon Sep 07 01:45:51 GMT+04:00 2026","failed","Mon Sep 07 01:45:59 GMT+04:00 2026","","playTest.spec.ts","",""
"","1675","Checking light mode","chromium","Mon Sep 07 01:45:51 GMT+04:00 2026","passed","Mon Sep 07 01:45:53 GMT+04:00 2026","","playTest.spec.ts","",""
"","7551","Checking names of buttons","chromium","Mon Sep 07 02:04:41 GMT+04:00 2026","failed","Mon Sep 07 02:04:49 GMT+04:00 2026","Header Navigation Bar Suite","playTest.spec.ts","",""
"","1639","Checking href","chromium","Mon Sep 07 01:45:51 GMT+04:00 2026","passed","Mon Sep 07 01:45:53 GMT+04:00 2026","","playTest.spec.ts","",""
"","2223","Checking href","chromium","Mon Sep 07 02:04:41 GMT+04:00 2026","passed","Mon Sep 07 02:04:43 GMT+04:00 2026","Header Navigation Bar Suite","playTest.spec.ts","",""
"","3","Checking skip","chromium","Mon Sep 07 02:04:40 GMT+04:00 2026","skipped","Mon Sep 07 02:04:40 GMT+04:00 2026","Header Navigation Bar Suite","playTest.spec.ts","",""
"","10029","Checking showing top bar","firefox","Mon Sep 07 01:45:55 GMT+04:00 2026","failed","Mon Sep 07 01:46:05 GMT+04:00 2026","","playTest.spec.ts","",""
"","10015","get started link","firefox","Mon Sep 07 02:04:46 GMT+04:00 2026","passed","Mon Sep 07 02:04:56 GMT+04:00 2026","","example.spec.ts","",""
"","4099","Checking names of buttons","firefox","Mon Sep 07 01:45:56 GMT+04:00 2026","passed","Mon Sep 07 01:46:00 GMT+04:00 2026","","playTest.spec.ts","",""
